authors_id,author_name,birth_date,nationality
160,"Anders Petersen",1980-07-08,Swedish
161,"Ingrid Sørensen",1979-01-30,Danish
162,"Oskar Eriksson",1987-12-14,Swedish
163,"Kirsten Andersen",1976-10-27,Norwegian
164,"Ville Jokinen",1984-04-09,Finnish
165,"Henrik Lindqvist",1977-08-23,Swedish
166,"Mia Haugen",1983-06-18,Norwegian
167,"Niklas Andersson",1981-02-03,Swedish
168,"Helena Niemi",1975-11-11,Finnish
169,"Johan Mikkelsen",1988-07-20,Danish
170,"Tove Hansen",1989-01-05,Swedish
171,"Luis Rodriguez",1980-05-10,Argentina
172,"Maria Lopez",1975-08-15,Colombia
173,"Carlos Garcia",1982-03-22,Peru
174,"Ana Martinez",1970-11-30,Mexico
175,"Diego Fernandez",1977-06-07,Chile
176,"Laura Torres",1985-09-25,Ecuador
177,"Pedro Silva",1979-02-18,Venezuela
178,"Isabel Gonzalez",1973-12-12,Guatemala
179,"Ricardo Ramirez",1984-04-01,Honduras
180,"Sofia Morales",1978-07-03,"El Salvador"
181,"Javier Martinez",1983-01-11,"Costa Rica"
182,"Paula Perez",1971-10-29,Bolivia
183,"Daniel Rodriguez",1986-08-02,Nicaragua
184,"Carmen Fernandez",1976-04-17,Paraguay
185,"Fernando Mendez",1981-06-23,Panama
186,"Lucia Diaz",1972-09-14,Uruguay
187,"Roberto Castro",1987-03-06,"Puerto Rico"
188,"Silvia Ortega",1974-05-08,"Dominican Republic"
189,"Andres Gomez",1988-11-19,Cuba
190,"Valeria Chavez",1975-12-04,Belize
191,"Luisa Vargas",1970-07-27,Suriname
192,"Miguel Fernandez",1989-02-10,Guyana
193,"Adriana Perez",1979-03-12,"Trinidad and Tobago"
194,"Manuel Soto",1977-08-07,Haiti
195,"Monica Torres",1973-06-16,Jamaica
196,"Carlos Medina",1985-04-09,Barbados
197,"Lorena Duarte",1978-09-03,Grenada
198,"Rafael Gomez",1976-01-20,"Antigua and Barbuda"
199,"Natalia Cruz",1984-07-28,"Saint Kitts and Nevis"
200,"Antonio Suarez",1980-10-15,"Saint Lucia"
201,"Elena Pena",1971-11-18,"Saint Vincent and the Grenadines"
202,"Santiago Rosales",1982-12-21,Bermuda
203,"Gloria Jimenez",1972-02-24,"The Bahamas"
204,"Joaquin Mendez",1986-05-03,"Turks and Caicos Islands"
205,"Camila Silva",1974-08-26,"Cayman Islands"
206,"Vicente Castro",1979-09-01,Aruba
207,"Antonia Rivera",1988-03-14,Curacao
208,"Alejandro Ortega",1977-06-22,"Sint Maarten"
209,"Catalina Santos",1978-04-30,"British Virgin Islands"
210,"Mateo Mendez",1989-10-12,"Saint Martin"
211,"Olivia Gomez",1981-07-04,Anguilla
212,"Leonardo Perez",1975-11-09,Montserrat
213,"Emma Ramirez",1976-08-03,"Falkland Islands"
214,"Felipe Torres",1984-01-26,"South Georgia and the South Sandwich Islands"
215,"Laura Mendez",1973-12-07,"French Guiana"
216,"Julia Fernandez",1980-02-13,Guyane
217,"Roberto Rodriguez",1972-09-29,Surinam
218,"Sofia Soto",1982-06-18,Aruba
220,"Luis Velazquez",1956-03-25,Spanish
222,"Remedios Vegas",1983-02-12,Argentinian
