book_id,title,publication_date,ISBN,stock_quantity,avarage_rating,price
73,"The Cosmic Journey: From Earth to the Stars",2022-04-20,9788899001125,35,4.6,25.70
74,"Astronaut Diaries: Life in Space",2022-03-25,9789900112235,40,4.4,93.09
75,"Galactic Mysteries: Unraveling the Universe",2022-02-28,9780011223345,30,4.7,64.92
76,"Planetarium: A Visual Tour of Our Solar System",2022-01-03,9781122334456,25,4.5,63.24
77,"The Space Traveler's Guide: Interstellar Adventures",2021-12-05,9782233445567,20,4.8,108.49
78,"Exploring the Unknown: Deep Space Discoveries",2021-11-10,9783344556676,30,4.6,83.43
79,"Alien Encounters: Close Encounters of the Third Kind",2021-10-15,9784455667786,25,4.3,113.01
80,"Beyond Earth: Colonizing the Moon and Mars",2021-09-20,9785566778896,35,4.7,87.45
81,"The Milky Way: Our Cosmic Neighborhood",2021-08-25,9786677889906,40,4.4,79.66
82,"Hubble's Legacy: Capturing the Universe in Images",2021-07-30,9787788990016,30,4.6,84.23
83,"Space Oddities: Bizarre Phenomena in the Cosmos",2021-06-04,9788899001126,20,4.5,29.29
84,"Voyagers: Pioneers of Space Exploration",2021-05-09,9789900112236,25,4.8,35.13
85,"Interplanetary Dreams: The Future of Space Travel",2021-04-14,9780011223346,35,4.7,109.54
86,"Cultural Heritage: Ancient Traditions",2008-12-15,9781122334457,30,4.5,106.96
87,"Lost Traditions: Forgotten Rituals",2006-10-20,9782233445568,25,4.2,104.08
88,"Folklore Chronicles: Tales and Customs",2009-09-25,9783344556677,35,4.7,8.11
89,"The Art of Tradition: Celebrations Worldwide",2007-08-30,9784455667787,40,4.4,17.58
90,"Customs and Beliefs: A Global Perspective",2005-07-05,9785566778897,20,4.8,72.03
91,"The Roots of Culture: Ancestral Traditions",2008-06-10,9786677889907,30,4.6,56.82
92,"Rituals and Ceremonies: Timeless Practices",2004-05-15,9787788990017,25,4.3,74.34
93,"Living Traditions: Heritage Preservation",2009-04-20,9788899001127,35,4.7,76.94
94,"Passing Down Traditions: Generational Wisdom",2006-03-25,9789900112237,40,4.5,85.60
95,"Cultural Customs: Uniting Communities",2008-02-28,9780011223347,30,4.8,105.24
96,"Traditions Around the World: A Journey in Time",2005-01-03,9781122334458,25,4.6,70.11
97,"Heritage Revival: Reconnecting with the Past",2007-12-05,1782233445569,20,4.4,95.42
98,"Global Rituals: Customs and Celebrations",2009-11-10,9783344556678,30,4.7,92.75
99,"Ancient Rites and Ceremonies: Respecting the Past",2004-10-15,9784455667788,25,4.5,110.24
100,"Traces of Tradition: Cultural Legacies",2006-09-20,9785566778898,35,4.8,57.42
101,"Traditions Preserved: A Window to History",2008-08-25,9786677889908,40,4.7,70.76
102,"Legacy of Rituals: A World of Celebrations",2007-07-30,9787788990018,30,4.5,40.56
103,"Cultural Cornerstones: Practices and Customs",2005-06-04,9788899001128,20,4.6,14.65
104,"Living the Legacy: Honoring Our Heritage",2009-05-09,9789900112238,25,4.4,90.81
105,"World Traditions Explored: Shared Histories",2006-04-14,9780011223348,35,4.7,42.18
106,"The Philosophy of Existence",1998-04-15,9781122334459,30,4.5,56.61
107,"Ethics and Moral Dilemmas",1995-11-20,9782233445569,25,4.2,52.34
108,"Philosophical Debates: A Critical View",1992-08-25,9783344556679,35,4.7,48.85
109,"The Mind of Socrates",1999-02-20,9784455667789,40,4.4,62.32
110,"The Art of Reasoning",2000-09-05,9785566778899,20,4.8,32.18
111,"Metaphysical Musings",1993-06-10,9786677889909,30,4.6,87.78
112,"Existentialism and Freedom",1996-05-15,9787788990019,25,4.3,100.64
113,"The Quest for Truth",1991-12-20,9788899001129,35,4.7,56.03
114,"The Philosophy of Wisdom",1997-10-30,9789900112239,40,4.5,15.24
115,"The Nature of Consciousness",1994-09-25,9780011223349,30,4.8,69.20
116,"A History of Philosophy",1992-05-03,9781122334460,25,4.6,79.01
117,"The Philosophy of Ethics",1998-08-05,1782233445560,20,4.4,32.54
118,"Critical Theories: Debating Perspectives",1995-06-10,1783344556680,30,4.7,80.36
119,"The Works of Aristotle",1992-01-15,9784455667790,25,4.5,17.03
120,"Exploring Plato's Dialogues",1996-10-20,1785566778890,35,4.8,67.33
121,"Metaphysics Unveiled",1999-02-28,2786677889900,40,4.7,20.48
122,"The Philosophy of Science",1997-07-30,1787788990010,30,4.5,50.41
123,"The Art of Rational Thinking",1994-05-04,1788899001120,20,4.6,34.38
124,"The Legacy of Aristotle",1998-09-09,1789900112230,25,4.4,111.09
125,"Transcendental Ideals: Kant's Legacy",1996-04-14,1780011223340,35,4.7,105.64
126,"Democracy and Its Challenges",2022-02-15,9781122334450,30,4.2,69.35
127,"Global Diplomacy: A New Era",2021-06-10,9782233445560,25,4.1,37.40
128,"Political Ideologies: A Comparative Study",2022-11-20,9783344556670,35,4.5,65.12
129,"Election Strategies: Winning the Game",2020-04-25,9784455667770,40,4.3,84.00
130,"The Power of Negotiation",2021-08-05,9785566778890,20,4.4,42.22
131,"The Role of International Law",2020-09-30,9786677889900,30,4.0,108.71
132,"Challenges in Global Governance",2019-07-15,9787788990010,34,4.3,99.64
133,"Revolutionary Movements",2021-03-30,9788899001120,40,4.6,43.04
134,"Political Theory: Key Concepts",2019-05-20,9789900112230,25,4.2,94.44
135,"Leadership in a Changing World",2022-05-03,9780011223340,30,4.5,43.73
136,"Understanding Political Systems",2020-11-15,1781122334451,35,4.1,52.37
137,"The Future of Governance",2021-09-28,9782233445561,25,4.3,100.56
138,"Global Conflict Resolution",2022-04-10,9783344556671,20,4.0,117.66
139,"The Art of Diplomacy",2019-01-25,9784455667771,40,4.4,112.71
140,"Policy Analysis: Decision-Making",2020-07-20,9785566778891,30,4.2,66.55
141,"The Politics of Identity",2022-03-10,9786677889901,25,4.5,95.51
142,"Media and Politics: An Examination",2019-05-04,9787788990011,35,4.3,78.06
143,"Environmental Policy Challenges",2022-10-15,9788899001121,20,4.1,55.73
144,"Social Movements and Change",2019-02-05,9789900112231,40,4.5,56.58
145,"Conflict Resolution Strategies",2020-12-20,9780011223341,30,4.2,41.35
146,"The Enigma Files",2010-11-15,1781122334460,30,4.2,58.31
147,"Murder at Midnight",2012-02-21,9782233445570,40,4.4,29.04
148,"The Detective's Dilemma",2011-04-02,9783344556680,35,4.1,81.16
149,"Whodunit Mysteries",2009-09-18,9784455667780,45,4.3,28.43
150,"Intriguing Investigations",2013-07-10,9785566778900,50,4.6,69.04
151,"Secrets of Suspense",2008-08-25,9786677889910,30,4.2,66.32
152,"Cryptic Clues",2011-03-15,9787788990030,25,4.0,52.02
153,"The Mysterious Mansion",2013-11-27,9788899001230,35,4.3,27.93
154,"Suspicion and Shadows",2010-02-20,9789900112350,40,4.5,64.26
155,"Case Closed",2012-04-22,9780011233450,30,4.2,47.56
156,"Twisted Tales",2008-05-15,9781122334461,35,4.1,33.55
157,"In the Shadows",2010-08-30,9782233445571,45,4.4,71.44
158,"Dark Secrets",2011-02-10,9783344556681,40,4.3,96.07
159,"The Unseen Threat",2009-09-03,9784455667781,30,4.0,17.34
161,"Love in Paris",2018-06-25,9781122334462,30,4.2,59.08
162,"Summer of Romance",2019-08-10,9782233445572,40,4.4,41.96
163,"Affairs of the Heart",2020-01-02,9783344556682,35,4.1,100.46
164,"Whispers of Love",2018-03-18,9784455667782,45,4.3,115.58
165,"A Love Story",2017-07-20,9785566778902,50,4.6,68.45
166,"Heartwarming Moments",2019-02-15,9786677889912,28,4.2,32.44
167,"Tales of Passion",2020-05-10,9787788990032,25,4.0,42.77
168,"Rendezvous in Venice",2019-08-27,9788899001232,35,4.3,59.37
169,"Sunset Serenade",2016-04-29,9789900112352,40,4.5,106.60
170,"Love Letters",2020-10-22,9780011233452,30,4.2,118.26
171,"Romantic Getaways",2018-11-15,9781122334463,35,4.1,16.78
172,"Unforgettable Moments",2017-05-30,9782233445573,45,4.4,36.34
173,"Eternal Love",2019-02-18,9783344556683,40,4.3,62.35
174,"Love Beyond Words",2017-08-01,9784455667783,30,4.0,34.92
175,"Cherished Dreams",2016-10-12,9785566778903,25,4.2,10.88
176,"Deadly Secrets",2021-04-15,9781122334464,30,4.2,76.92
177,"The Silent Witness",2020-09-21,9782233445574,40,4.4,111.40
178,"Web of Deceit",2022-02-02,9783344556684,35,4.1,29.99
179,"Unsolved Mysteries",2020-07-18,9784455667784,45,4.3,90.06
180,"The Chase",2021-10-10,9785566778904,50,4.6,9.82
181,"In the Shadows",2020-04-25,9786677889914,30,4.2,83.78
182,"The Hunted",2019-07-15,9787788990034,25,4.0,26.65
183,"Dangerous Pursuits",2022-03-27,9788899001234,35,4.3,60.81
184,"Conspiracy Theories",2021-08-29,9789900112354,40,4.5,113.71
185,"Mystery Thrillers",2019-04-17,9780011233454,30,4.2,95.31
186,"Twisted Plots",2020-05-15,9781122334465,35,4.1,26.37
187,"Deadly Investigations",2019-03-10,9782233445575,45,4.4,63.45
188,"Criminal Minds",2020-01-05,9783344556685,40,4.3,54.10
189,"Killer Instinct",2018-09-15,9784455667785,30,4.0,36.36
190,"Suspenseful Moments",2021-11-12,9785566778905,25,4.2,25.40
191,"Delicious Desserts for Beginners",2022-04-15,2781234567890,50,4.7,94.45
192,"Quick and Easy Weeknight Dinners",2021-09-03,1781234567891,75,4.5,10.70
193,"The Ultimate BBQ Guide",2022-06-20,1781234567892,40,4.8,91.19
194,"Mouthwatering Mediterranean Cuisine",2020-11-14,1781234567893,30,4.6,95.22
195,"Plant-Based Cooking Made Simple",2021-03-10,1781234567894,60,4.9,56.46
196,"Baking Basics: A Step-By-Step Guide",2022-01-25,1781234567895,55,4.4,48.90
197,"Spices and Flavors of India",2019-07-01,1781234567896,25,4.7,58.35
198,"Homestyle Italian Cooking",2020-02-12,1781234567897,45,4.5,76.88
199,"Healthy Eating 101",2020-09-05,1781234567898,70,4.8,20.03
200,"The Art of Sushi",2021-05-28,1781234567899,20,4.7,83.63
201,"Gourmet Grilling Techniques",2021-07-22,9781234567800,35,4.6,99.23
202,"Classic French Cuisine",2020-08-16,1781234567801,60,4.9,67.43
203,"Mexican Fiesta: Tacos, Salsas, and More",2021-03-30,1781234567802,40,4.4,22.80
204,"Vegan Delights: Plant-Powered Recipes",2022-02-11,1781234567803,50,4.5,60.11
205,"Thai Street Food Adventures",2020-12-09,1781234567804,30,4.7,88.02
206,"The Great American Pie Book",2021-01-19,1781234567805,25,4.8,34.18
207,"Mediterranean Meze and Tapas",2020-05-15,1781234567806,55,4.6,81.35
208,"Chinese Takeout at Home",2022-04-05,9181234567807,40,4.5,61.43
209,"Soul Food Favorites",2019-08-28,1781234567808,35,4.7,95.66
210,"Gluten-Free Cooking Explained",2020-03-12,1781234567809,60,4.8,47.96
211,"Quick and Tasty Stir-Fries",2021-06-14,1781234567810,30,4.9,57.12
212,"Baking with Chocolate: Irresistible Treats",2020-07-03,1781234567811,50,4.7,68.57
213,"The Joy of Baking Bread",2022-02-25,1781234567812,45,4.5,79.08
214,"Exploring the Andes: A Hiker's Guide",2022-08-10,1781234567813,30,4.5,70.04
215,"Cruise Adventures in the Caribbean",2022-07-05,1781234567814,45,4.4,114.93
216,"Hidden Gems of Europe",2021-12-20,1781234567815,40,4.7,41.08
217,"Road Tripping Across the USA",2021-11-15,1781234567816,35,4.6,7.74
218,"Island Hopping in Southeast Asia",2022-03-10,1781234567817,50,4.8,50.07
219,"African Safari Tales",2022-05-12,1781234567818,25,4.6,18.69
220,"Romantic Getaways in Italy",2021-08-14,1781234567819,30,4.7,60.20
221,"Backpacking Adventures in South America",2021-09-30,1781234567820,35,4.6,119.00
222,"Solo Traveler's Guide to Asia",2022-01-25,1781234567821,25,4.5,102.96
223,"Exploring the Australian Outback",2022-06-05,1781234567822,20,4.8,71.97
224,"Northern Lights: A Journey to the Arctic",2021-10-20,1781234567823,40,4.7,80.53
225,"Cultural Wonders of India",2022-03-18,1781234567824,55,4.9,27.68
226,"Scenic Beauty of New Zealand",2021-07-10,1781234567825,30,4.6,78.29
227,"Historical European Cities",2022-02-09,1781234567826,45,4.5,119.32
228,"Adventures in the Amazon Rainforest",2021-04-15,1781234567827,35,4.7,47.73
229,"The Serengeti Wildlife Expedition",2022-04-28,1781234567828,25,4.5,66.18
230,"Discovering Japan's Traditions",2021-02-05,1781234567829,30,4.8,113.80
231,"Exploring the Amazon River",2022-08-15,1781234567830,40,4.7,87.84
232,"The Enigmatic Mystery",2023-01-05,9781234567801,30,4.5,116.51
233,"Lost in Time",2023-02-15,9781234567802,40,4.4,28.69
234,"Eternal Sunshine",2023-02-20,9781234567803,25,4.7,112.18
235,"The Whispering Shadows",2022-12-08,9781234567804,50,4.6,46.62
236,"Unbreakable Bonds",2023-01-30,9781234567805,35,4.8,100.50
237,"Echoes of Eternity",2022-12-25,9781234567806,45,4.6,43.40
238,"The Art of Forgiveness",2022-11-20,9781234567807,40,4.5,57.41
239,"The Last Embrace",2023-02-10,9781234567808,30,4.7,43.43
240,"Shattered Reflections",2022-10-15,9781234567809,35,4.6,116.65
241,"Beyond the Horizon",2023-01-18,9781234567810,55,4.9,62.22
242,"Fragments of Yesterday",2022-09-30,9781234567811,30,4.6,42.40
243,"Hidden Desires",2022-11-08,9781234567812,40,4.7,29.74
244,"Twisted Truths",2022-09-05,9781234567813,35,4.6,57.18
245,"The Silent Scream",2022-10-28,9781234567814,25,4.5,73.15
246,"Dark Secrets",2022-08-25,9781234567815,30,4.8,22.79
247,"Eternal Love",2023-03-01,9781234567816,20,4.7,68.69
248,"Whispers in the Dark",2023-02-12,9781234567817,40,4.8,27.35
249,"The Untold Journey",2022-11-05,9781234567818,35,4.6,79.57
250,"Ghosts of the Past",2022-10-05,9781234567819,40,4.5,103.82
251,"The Broken Promise",2022-09-15,9781234567820,30,4.7,96.63
252,"When the Rain Falls",2023-02-25,9781234567821,45,4.9,51.14
253,"Torn Hearts",2022-10-12,9781234567822,35,4.6,39.31
254,"Reflections of Hope",2022-09-08,9781234567823,40,4.5,8.30
255,"The Hidden Truth",2022-11-22,9781234567824,50,4.7,82.72
256,"Chasing Dreams",2022-12-30,9781234567825,55,4.8,10.73
257,"Moonlit Whispers",2023-01-15,9781234567826,40,4.6,102.26
258,"The Secret Garden",2022-12-05,9781234567827,35,4.7,82.47
259,"Crimson Hearts",2022-09-28,9781234567828,25,4.6,82.65
260,"The Scarlet Letter",2022-08-18,9781234567829,30,4.8,81.45
261,"The Haunting Melody",2022-11-15,2781234567830,45,4.7,27.26
262,"Whispers in the Wind",2022-09-18,9781234567831,35,4.6,79.46
263,"Silent Echoes",2022-10-28,9781234567832,30,4.5,61.03
264,"Stolen Moments",2022-08-12,9781234567833,40,4.7,65.70
265,"The Captive Heart",2022-12-10,9781234567834,20,4.6,118.36
266,"Eternal Shadows",2022-11-08,9781234567835,35,4.8,100.68
267,"The Enchanted Forest",2023-01-08,9781234567836,50,4.6,43.82
268,"Hearts Afire",2023-02-05,9781234567837,40,4.7,11.21
269,"The Whispering Pines",2023-02-25,9781234567838,45,4.5,30.80
270,"A Castle in the Sky",2023-01-28,9781234567839,30,4.7,37.10
271,"The Secret Path",2022-10-30,9781234567840,35,4.6,112.24
272,"The Hidden Treasures",2022-09-20,9781234567841,25,4.5,64.05
273,"Eternal Spring",2022-11-10,9781234567842,40,4.7,100.46
274,"The Forbidden Love",2022-09-12,9781234567843,30,4.6,11.29
275,"The Enchanted Lake",2023-02-15,9781234567844,35,4.8,68.66
276,"Moonlight Serenade",2022-08-15,9781234567845,25,4.7,60.63
277,"Echoes of the Heart",2022-09-10,9781234567846,40,4.5,20.80
278,"The Dancing Leaves",2023-01-12,9781234567847,30,4.6,66.92
279,"Hearts in Harmony",2022-11-30,9781234567848,45,4.7,23.09
280,"The Lost Paradise",2022-10-12,9781234567849,20,4.8,54.36
281,"Whispers of the Sea",2022-12-22,9781234567850,35,4.6,62.34
282,"Clockwork Dreams",2022-10-15,9781234567851,30,4.6,100.55
283,"The Brass Conspiracies",2022-11-18,9781234567852,25,4.7,106.29
284,"Steam and Shadows",2022-09-28,9781234567853,35,4.6,19.10
285,"Machines of Magic",2023-01-05,9781234567854,45,4.5,82.72
286,"The Gears of Destiny",2022-12-30,9781234567855,40,4.7,119.82
287,"Airship Adventure",2022-10-05,9781234567856,50,4.6,52.70
288,"Clockwork Chronicles",2023-01-18,9781234567857,30,4.8,57.41
289,"The Steam Revolution",2022-09-20,9781234567858,25,4.6,106.33
290,"Cogwheels and Corsets",2022-11-08,9781234567859,40,4.5,66.91
291,"City of Steam",2023-02-05,9781234567860,35,4.7,86.18
292,"The Inventors Daughter",2022-10-25,9781234567861,45,4.6,89.25
293,"Aether Alchemy",2022-12-18,9781234567862,55,4.8,63.03
294,"The Mechanical Mage",2023-02-25,9781234567863,30,4.6,82.28
295,"Clockwork Carnival",2022-09-15,9781234567864,25,4.7,13.09
296,"The Sky Captain",2022-10-28,9781234567865,40,4.6,38.73
297,"Steampunk Sorcery",2022-11-22,9781234567866,35,4.5,82.89
298,"Empire of Gears",2023-02-15,9781234567867,50,4.7,98.05
299,"The Airship Adventurer",2022-09-18,9781234567868,40,4.6,22.94
300,"Gears of Glory",2023-01-28,9781234567869,35,4.8,89.24
301,"Steam-powered Secrets",2022-12-08,9781234567870,30,4.6,83.41
302,"Clockwork Conquests",2022-09-08,9781234567871,45,4.7,77.61
303,"Steampunk Safari",2022-11-30,9781234567872,40,4.6,98.17
304,"The Clockwork Chronicles",2022-08-25,9781234567873,25,4.5,111.29
305,"Steam and Sorcery",2022-10-18,9781234567874,55,4.7,114.36
306,"Mysteries of the Gears",2023-01-12,9781234567875,30,4.6,24.35
307,"The Winning Shot",2023-02-10,9781234567876,40,4.7,23.08
308,"Soccer Legends",2023-01-15,9781234567877,50,4.6,61.83
309,"Champion's Playbook",2023-01-20,9781234567878,35,4.6,42.75
310,"Beyond the Finish Line",2023-01-30,9781234567879,30,4.5,64.39
311,"Hoops and Dreams",2023-02-20,9781234567880,45,4.7,17.98
312,"Golfing Greats",2023-01-18,9781234567881,30,4.8,65.29
313,"The Soccer Star",2023-01-25,9781234567882,55,4.5,105.98
314,"Victory in Volleyball",2023-02-05,9781234567883,40,4.6,23.62
315,"Run to Win",2023-02-12,9781234567884,35,4.7,102.42
316,"Wrestling Warriors",2023-02-25,9781234567885,30,4.6,65.10
317,"Basketball Strategies",2023-01-05,9781234567886,50,4.7,94.46
318,"Baseball Magic",2023-02-08,9781234567887,45,4.6,68.47
319,"The Tennis Titan",2023-01-10,9781234567888,40,4.8,87.54
320,"Sailing to Victory",2023-01-28,9781234567889,35,4.6,106.61
321,"Kickboxing Techniques",2023-01-22,9781234567890,30,4.7,52.97
322,"Cycling Secrets",2023-01-15,9781234567891,55,4.6,108.50
323,"Hockey Heroes",2023-02-18,9781234567892,30,4.5,94.98
324,"Track and Field Triumphs",2023-02-01,9781234567893,50,4.7,24.61
325,"Surfing Safaris",2023-02-12,9781234567894,40,4.6,16.16
326,"Powerlifting Prodigies",2023-01-30,9781234567895,45,4.5,68.81
327,"Athletic Adventures",2023-02-10,9781234567896,35,4.7,28.50
328,"Extreme Sports Escapades",2023-01-18,9781234567897,30,4.6,93.63
329,"Fitness Fundamentals",2023-02-20,9781234567898,25,4.8,47.61
330,"Aquatic Achievements",2023-01-12,9781234567899,40,4.7,98.49
331,"Mountain Climbing Chronicles",2023-01-22,9781234567900,45,4.6,71.05
332,"Martial Arts Mastery",2023-02-05,9781234567901,55,4.7,43.46
333,"Gymnastics Greatness",2023-01-05,9781234567902,30,4.5,86.97
334,"Snowboarding Stories",2023-02-18,9781234567903,40,4.7,54.27
335,"Equestrian Excellence",2023-02-25,9781234567904,35,4.6,96.36
336,"Surfing Secrets",2023-02-15,9781234567905,45,4.8,83.14
337,"The Entrepreneur's Guide",2023-03-05,9781234567906,60,4.8,52.20
338,"Marketing Mastery",2023-02-01,9781234567907,70,4.7,106.26
339,"Leadership Lessons",2023-02-18,9781234567908,55,4.6,112.67
340,"Financial Freedom",2023-03-10,9781234567909,50,4.5,31.37
341,"The Art of Negotiation",2023-02-15,9781234567910,40,4.6,66.84
342,"Start-up Success",2023-03-15,9781234567911,45,4.7,9.49
343,"Economic Empowerment",2023-03-22,9781234567912,60,4.8,110.31
344,"Business Innovation",2023-02-10,9781234567913,70,4.7,116.94
345,"Financial Strategies",2023-03-18,9781234567914,55,4.6,97.64
346,"The MBA Mindset",2023-03-28,9781234567915,50,4.5,104.22
347,"Investment Insights",2023-02-28,9781234567916,40,4.6,94.14
348,"Entrepreneurial Excellence",2023-03-25,9781234567917,45,4.7,100.06
349,"Digital Marketing Domination",2023-02-12,9781234567918,60,4.8,86.74
350,"The Lean Startup",2023-03-02,9781234567919,70,4.7,13.79
351,"Business Ethics",2023-03-12,9781234567920,55,4.6,14.49
352,"Sales Success",2023-03-08,9781234567921,50,4.5,26.45
353,"Supply Chain Strategies",2023-02-22,9781234567922,40,4.6,33.09
354,"Marketing for Small Businesses",2023-03-20,9781234567923,45,4.7,46.22
355,"Leadership Principles",2023-03-05,9781234567924,60,4.8,85.49
356,"The Art of Management",2023-02-05,9781234567925,70,4.7,64.36
357,"Financial Management",2023-03-10,9781234567926,55,4.6,108.87
358,"Business Planning",2023-02-25,9781234567927,50,4.5,26.10
359,"Corporate Strategy",2023-03-15,9781234567928,40,4.6,87.65
360,"Start-up Stories",2023-02-28,9781234567929,45,4.7,40.94
361,"Leadership in a Digital Age",2023-03-18,9781234567930,60,4.8,92.28
362,"Economic Growth",2023-02-15,9781234567931,70,4.7,77.54
363,"Financial Planning",2023-03-28,9781234567932,55,4.6,50.01
364,"The MBA Handbook",2023-02-10,9781234567933,50,4.5,91.21
365,"Investment Strategies",2023-03-22,9781234567934,40,4.6,106.55
366,"Entrepreneurial Insights",2023-03-05,9781234567935,45,4.7,43.80
367,"Digital Marketing Strategies",2023-02-01,9781234567936,60,4.8,9.41
368,"The Art of Business",2023-02-18,9781234567937,70,4.7,65.60
