book_id,title,publication_date,stock_quantity,avarage_rating,price,genre_name,author_name,nationality
221,Backpacking Adventures in South America,30/09/2021,35,4.6,119,Sports,Nina Petrova,Bulgarian
226,Scenic Beauty of New Zealand,10/07/2021,30,4.6,78.29,Crime,Lucas Wilson,Vanuatu
235,The Whispering Shadows,08/12/2022,50,4.6,46.62,Paranormal,Mia Haugen,Norwegian
237,Echoes of Eternity,25/12/2022,45,4.6,43.4,Comics,Ahmed Ali,Egyptian
240,Shattered Reflections,15/10/2022,35,4.6,116.65,Cooking,Liam Smith,New Zealander
242,Fragments of Yesterday,30/09/2022,30,4.6,42.4,Religion,Anna Nowak,Polish
244,Twisted Truths,05/09/2022,35,4.6,57.18,Education,Anna Nowak,Polish
249,The Untold Journey,05/11/2022,35,4.6,79.57,Environment,Andrea Bianchi,Italian
253,Torn Hearts,12/10/2022,35,4.6,39.31,Self-Help,Jean-Pierre Dupont,French
257,Moonlit Whispers,15/01/2023,40,4.6,102.26,Psychology,Anish Choudhury,Bangladeshi
259,Crimson Hearts,28/09/2022,25,4.6,82.65,Business,William Brown,Solomon Islander
262,Whispers in the Wind,18/09/2022,35,4.6,79.46,Romance,Fernando Mendez,Panama
265,The Captive Heart,10/12/2022,20,4.6,118.36,Thriller,Anders Petersen,Swedish
267,The Enchanted Forest,08/01/2023,50,4.6,43.82,Crime,Oskar Eriksson,Swedish
271,The Secret Path,30/10/2022,35,4.6,112.24,Art,Silvija Riekstiņa,Latvian
274,The Forbidden Love,12/09/2022,30,4.6,11.29,Children's,Sofia Bergman,Finnish
278,The Dancing Leaves,12/01/2023,30,4.6,66.92,Sports,Paula Perez,Bolivia
281,Whispers of the Sea,22/12/2022,35,4.6,62.34,Romance,Mikhail Ivanov,Russian
282,Clockwork Dreams,15/10/2022,30,4.6,100.55,Poetry,Rajesh Kapoor,Indian
284,Steam and Shadows,28/09/2022,35,4.6,19.1,Sports,Ana Martinez,Mexico
287,Airship Adventure,05/10/2022,50,4.6,52.7,Fantasy,Ingrid Sørensen,Danish
289,The Steam Revolution,20/09/2022,25,4.6,106.33,Horror,Kazuki Tanaka,Japanese
292,The Inventors Daughter,25/10/2022,45,4.6,89.25,Superhero,Johanna Svensson,Swedish
294,The Mechanical Mage,25/02/2023,30,4.6,82.28,Young Adult,Laura Mendez,French Guiana
296,The Sky Captain,28/10/2022,40,4.6,38.73,Mystery,Andres Martinez,Mexican
299,The Airship Adventurer,18/09/2022,40,4.6,22.94,Business,Amina Ndiaye,Senegalese
301,Steam-powered Secrets,08/12/2022,30,4.6,83.41,Art,Laura Mendez,French Guiana
303,Steampunk Safari,30/11/2022,40,4.6,98.17,Horror,Miguel Rodríguez,Mexican
306,Mysteries of the Gears,12/01/2023,30,4.6,24.35,Science,Anna Nowak,Polish
308,Soccer Legends,15/01/2023,50,4.6,61.83,Philosophy,Catarina Silva,Portuguese
309,Champion's Playbook,20/01/2023,35,4.6,42.75,Psychology,Natasha Patel,Indian
314,Victory in Volleyball,05/02/2023,40,4.6,23.62,Science,Ingrid Sørensen,Danish
316,Wrestling Warriors,25/02/2023,30,4.6,65.1,Business,Emma Ramirez,Falkland Islands
318,Baseball Magic,08/02/2023,45,4.6,68.47,Business,Anders Petersen,Swedish
320,Sailing to Victory,28/01/2023,35,4.6,106.61,Urban Fantasy,Liam Smith,New Zealander
322,Cycling Secrets,15/01/2023,55,4.6,108.5,Cooking,Valdis Salmiņš,Latvian
325,Surfing Safaris,12/02/2023,40,4.6,16.16,Sports,Anders Petersen,Swedish
328,Extreme Sports Escapades,18/01/2023,30,4.6,93.63,Adventure,Jana Kovac,Slovak
331,Mountain Climbing Chronicles,22/01/2023,45,4.6,71.05,Politics,Carlos Martínez,Spanish
331,Mountain Climbing Chronicles,22/01/2023,45,4.6,71.05,Politics,Amina Ndiaye,Senegalese
335,Equestrian Excellence,25/02/2023,35,4.6,96.36,Cooking,Yusuf Erdogan,Turkish
339,Leadership Lessons,18/02/2023,55,4.6,112.67,Horror,Elena Popescu,Romanian
341,The Art of Negotiation,15/02/2023,40,4.6,66.84,Business,Lucia Morales,Spanish
345,Financial Strategies,18/03/2023,55,4.6,97.64,Classic,Raul Martinez,Mexican
345,Financial Strategies,18/03/2023,55,4.6,97.64,Paranormal,Raul Martinez,Mexican
347,Investment Insights,28/02/2023,40,4.6,94.14,Steampunk,Ricardo Ramirez,Honduras
351,Business Ethics,12/03/2023,55,4.6,14.49,Travel,Jean-Pierre Dupont,French
353,Supply Chain Strategies,22/02/2023,40,4.6,33.09,Manga,Valeria Chavez,Belize
357,Financial Management,10/03/2023,55,4.6,108.87,Mystery,Thabo Ndlovu,South African
359,Corporate Strategy,15/03/2023,40,4.6,87.65,Classic,Sofia Soto,Aruba
363,Financial Planning,28/03/2023,55,4.6,50.01,Horror,Petr Novak,Czech
365,Investment Strategies,22/03/2023,40,4.6,106.55,Environment,Giovanni Bianchi,Italian
369,Business Ethics and Sustainability,10/03/2023,55,4.6,100.25,Sports,Kwesi Mensah,Ghanaian
371,Supply Chain Management,15/03/2023,40,4.6,25.31,Dystopian,Franz Müller,German
375,Financial Strategies for Success,25/03/2023,55,4.6,97.54,Health,Pedro Silva,Venezuela
377,Leadership Lessons from CEOs,12/02/2023,40,4.6,91.35,Steampunk,Pēteris Auziņš,Latvian
381,Sales and Negotiation Tactics,12/03/2023,55,4.6,18.79,Time Travel,Mette Nielsen,Danish
383,Marketing Strategies for Small Businesses,20/03/2023,40,4.6,62.52,Cooking,Chen Wei,Chinese
387,The Art of Entrepreneurship,18/02/2023,55,4.6,19.3,Thriller,Sofia Soto,Aruba
389,Investing in Your Future,02/03/2023,40,4.6,19.68,Humor,Andres Gomez,Cuba
393,Business Ethics and Social Responsibility,05/03/2023,55,4.6,8.98,Steampunk,Javier Martinez,Costa Rica
3,The Lost City of Atlantis,10/04/2022,29,4.7,77.66,Mystery,Hiroshi Tanaka,Japanese
12,Legends of the Starry Skies,05/10/2022,40,4.7,77.16,Science,Sven Hansen,Danish
17,Legends of the Lost Temple,10/02/2023,40,4.7,109.74,Young Adult,Miguel Rodriguez,Mexican
27,The Mystic Chronicles,30/12/2023,30,4.7,7.21,Business,Ahmed Hussein,Egyptian
35,The Viking Sagas: Warriors of the North,30/08/2022,40,4.7,22.98,Manga,Hui Li,Chinese
43,Nordic Cuisine: Flavors of the North,05/12/2021,25,4.7,101.33,Chick Lit,Takashi Yamamoto,Japanese
48,Simplify Your Life: Decluttering Guide,25/09/2022,20,4.7,9.95,Steampunk,Marie Dupont,French
55,Happiness in Everyday Life,28/02/2022,40,4.7,21.68,Spirituality,Yan Wei,Chinese
60,Embrace the Outdoors: Nature Connection,20/09/2021,30,4.7,9.96,Fantasy,Anton Nowak,Polish
65,Resilience: Bouncing Back Stronger,14/04/2021,25,4.7,111.13,Health,Andres Sanchez,Peruvian
68,The Great Space Odyssey: Humans on Mars,25/09/2022,35,4.7,99.41,Urban Fantasy,Ana Fernandez,Mexican
75,Galactic Mysteries: Unraveling the Universe,28/02/2022,30,4.7,64.92,Historical Fiction,Gonzalo Castro,Argentinian
80,Beyond Earth: Colonizing the Moon and Mars,20/09/2021,35,4.7,87.45,Chick Lit,Nadia Zaman,Bangladeshi
85,Interplanetary Dreams: The Future of Space Travel,14/04/2021,35,4.7,109.54,Science Fiction Romance,Natasha Patel,Indian
88,Folklore Chronicles: Tales and Customs,25/09/2009,35,4.7,8.11,Biography,Anish Choudhury,Bangladeshi
93,Living Traditions: Heritage Preservation,20/04/2009,35,4.7,76.94,Philosophy,Tatiana Novak,Czech
98,Global Rituals: Customs and Celebrations,10/11/2009,30,4.7,92.75,Graphic Novel,Mateusz Nowak,Polish
101,Traditions Preserved: A Window to History,25/08/2008,40,4.7,70.76,Sports,Irena Kowalczyk,Polish
105,World Traditions Explored: Shared Histories,14/04/2006,35,4.7,42.18,Children's,Nina Petrova,Bulgarian
108,Philosophical Debates: A Critical View,25/08/1992,35,4.7,48.85,Crime,Jānis Pētersons,Latvian
113,The Quest for Truth,20/12/1991,35,4.7,56.03,Religion,Līga Kalniņa,Latvian
113,The Quest for Truth,20/12/1991,35,4.7,56.03,Religion,Luis Velazquez,Spanish
118,Critical Theories: Debating Perspectives,10/06/1995,30,4.7,80.36,Sports,Matthias Müller,German
121,Metaphysics Unveiled,28/02/1999,40,4.7,20.48,Drama,Ana Silva,Portuguese
125,Transcendental Ideals: Kant's Legacy,14/04/1996,35,4.7,105.64,Health,Marie-Claire Dubois,French
191,Delicious Desserts for Beginners,15/04/2022,50,4.7,94.45,Time Travel,Luisa Vargas,Suriname
197,Spices and Flavors of India,01/07/2019,25,4.7,58.35,Horror,Andrea Bianchi,Italian
197,Spices and Flavors of India,01/07/2019,25,4.7,58.35,Horror,Lorena Duarte,Grenada
200,The Art of Sushi,28/05/2021,20,4.7,83.63,Time Travel,Antonio Suarez,Saint Lucia
205,Thai Street Food Adventures,09/12/2020,30,4.7,88.02,Dystopian,Camila Silva,Cayman Islands
209,Soul Food Favorites,28/08/2019,35,4.7,95.66,Education,Catalina Santos,British Virgin Islands
212,Baking with Chocolate: Irresistible Treats,03/07/2020,50,4.7,68.57,Humor,Leonardo Perez,Montserrat
216,Hidden Gems of Europe,20/12/2021,40,4.7,41.08,Comics,Julia Fernandez,Guyane
220,Romantic Getaways in Italy,14/08/2021,30,4.7,60.2,Young Adult,Aksel Olsen,Norwegian
224,Northern Lights: A Journey to the Arctic,20/10/2021,40,4.7,80.53,Dystopian,Irena Kowalczyk,Polish
228,Adventures in the Amazon Rainforest,15/04/2021,35,4.7,47.73,Drama,Takashi Yamamoto,Japanese
231,Exploring the Amazon River,15/08/2022,40,4.7,87.84,Fantasy,Ana Silva,Portuguese
234,Eternal Sunshine,20/02/2023,25,4.7,112.18,Music,Matthias Müller,German
239,The Last Embrace,10/02/2023,30,4.7,43.43,Music,Isabella Rossi,Italian
243,Hidden Desires,08/11/2022,40,4.7,29.74,Adventure,Thabo Ndlovu,South African
247,Eternal Love,01/03/2023,20,4.7,68.69,Business,Sofia Bergman,Finnish
251,The Broken Promise,15/09/2022,30,4.7,96.63,Horror,Sofia Ramirez,Colombian
255,The Hidden Truth,22/11/2022,50,4.7,82.72,Sports,Jacob Robinson,Kiribati
258,The Secret Garden,05/12/2022,35,4.7,82.47,Biography,Ahmed Ali,Egyptian
261,The Haunting Melody,15/11/2022,45,4.7,27.26,Children's,Zane Bērziņa,Latvian
264,Stolen Moments,12/08/2022,40,4.7,65.7,Adventure,Helena Niemi,Finnish
268,Hearts Afire,05/02/2023,40,4.7,11.21,Biography,Maria Ivanova,Russian
270,A Castle in the Sky,28/01/2023,30,4.7,37.1,Reference,Ana Silva,Portuguese
273,Eternal Spring,10/11/2022,40,4.7,100.46,Drama,Elena Petrov,Russian
276,Moonlight Serenade,15/08/2022,25,4.7,60.63,Crime,Léa Dupuis,French
279,Hearts in Harmony,30/11/2022,45,4.7,23.09,Mystery,Vicente Castro,Aruba
283,The Brass Conspiracies,18/11/2022,25,4.7,106.29,Western,Franz Müller,German
286,The Gears of Destiny,30/12/2022,40,4.7,119.82,Steampunk,Yuki Nakamura,Japanese
291,City of Steam,05/02/2023,35,4.7,86.18,Science Fiction Romance,Santiago Rosales,Bermuda
295,Clockwork Carnival,15/09/2022,25,4.7,13.09,Science Fiction,Andrea Bianchi,Italian
298,Empire of Gears,15/02/2023,50,4.7,98.05,Business,Andris Bērziņš,Latvian
302,Clockwork Conquests,08/09/2022,45,4.7,77.61,Politics,Alejandro Ortega,Sint Maarten
305,Steam and Sorcery,18/10/2022,55,4.7,114.36,Religion,Julia Fernandez,Guyane
307,The Winning Shot,10/02/2023,40,4.7,23.08,Steampunk,Lucia Diaz,Uruguay
311,Hoops and Dreams,20/02/2023,45,4.7,17.98,Art,Carmen Torres,Spanish
315,Run to Win,12/02/2023,35,4.7,102.42,Spirituality,Jakub Nowak,Polish
317,Basketball Strategies,05/01/2023,50,4.7,94.46,Drama,Andris Bērziņš,Latvian
321,Kickboxing Techniques,22/01/2023,30,4.7,52.97,Sports,Amina Ndiaye,Senegalese
324,Track and Field Triumphs,01/02/2023,50,4.7,24.61,Environment,Ella White,Samoa
327,Athletic Adventures,10/02/2023,35,4.7,28.5,Science Fiction Fantasy,Raul Martinez,Mexican
330,Aquatic Achievements,12/01/2023,40,4.7,98.49,Horror,Andres Gomez,Cuba
332,Martial Arts Mastery,05/02/2023,55,4.7,43.46,Science Fiction,Luis Martinez,Mexican
334,Snowboarding Stories,18/02/2023,40,4.7,54.27,Children's,Ahmed Hussein,Egyptian
338,Marketing Mastery,01/02/2023,70,4.7,106.26,Steampunk,Ingrid Sørensen,Danish
342,Start-up Success,15/03/2023,45,4.7,9.49,Science Fiction Fantasy,Catalina Santos,British Virgin Islands
344,Business Innovation,10/02/2023,70,4.7,116.94,Education,Maria Garcia,Spanish
348,Entrepreneurial Excellence,25/03/2023,45,4.7,100.06,Health,Rafael Santos,Brazilian
350,The Lean Startup,02/03/2023,70,4.7,13.79,Comics,Aksel Olsen,Norwegian
354,Marketing for Small Businesses,20/03/2023,45,4.7,46.22,Cooking,Naledi Mokoena,South African
356,The Art of Management,05/02/2023,70,4.7,64.36,Young Adult,Laima Ozoliņa,Latvian
360,Start-up Stories,28/02/2023,45,4.7,40.94,Adventure,Emma Ramirez,Falkland Islands
362,Economic Growth,15/02/2023,70,4.7,77.54,Children's,Amina Ndiaye,Senegalese
366,Entrepreneurial Insights,05/03/2023,45,4.7,43.8,Self-Help,Isabel Gonzalez,Guatemala
368,The Art of Business,18/02/2023,70,4.7,65.6,Fantasy,Kirsten Andersen,Norwegian
372,Marketing for Entrepreneurs,28/02/2023,45,4.7,107.23,Dystopian,Oliver Wilson,British
374,Business Growth Strategies,10/02/2023,70,4.7,101.03,Reference,Andreas Wagner,German
378,Digital Marketing Trends,02/03/2023,45,4.7,17,Cooking,Mette Nielsen,Danish
380,Business Culture and Ethics,05/03/2023,70,4.7,38.36,Young Adult,Henrik Lindqvist,Swedish
384,Leadership Insights from Successful CEOs,18/02/2023,45,4.7,110.8,Comics,Sara Andersson,Swedish
386,Financial Mastery,25/03/2023,70,4.7,59.24,Romance,Luis Martinez,Mexican
390,Leadership Excellence,25/02/2023,45,4.7,84.66,Steampunk,Helena Niemi,Finnish
392,The Lean Startup Method,15/03/2023,70,4.7,60.09,Superhero,Lucia Morales,Spanish
1,The Starry Chronicles,15/03/2022,42,4.5,54.08,Science Fiction,John Smith,American
1,The Starry Chronicles,15/03/2022,42,4.5,54.08,Science Fiction,Matthias Schmidt,German
13,Realm of Eternal Wonder,03/08/2022,30,4.5,72.05,Self-Help,Olga Ivanova,Ukrainian
19,Voyage to the Underwater Realm,20/04/2023,30,4.5,34.02,Classic,Carlos Martínez,Spanish
26,Secrets of the Celestial Stars,25/11/2023,40,4.5,104.89,Music,Catarina Silva,Portuguese
31,Nordic Mysteries: A Journey Through Scandinavia,10/12/2022,20,4.5,113.35,Technology,Giorgio Rossi,Italian
41,The Whispering Woods of Norway,28/02/2022,40,4.5,110.38,Western,Oliver Wilson,British
51,Living with Purpose and Passion,10/06/2022,30,4.5,66.68,Spirituality,Giovanni Bianchi,Italian
56,Achieving Financial Freedom,03/01/2022,30,4.5,72.26,Children's,Hanna Svensson,Swedish
63,Nourish Your Soul: Self-Care Essentials,04/06/2021,30,4.5,74.29,Travel,Carlos Rodriguez,Mexican
71,Alien Worlds: Exploring Exoplanets,10/06/2022,30,4.5,60.46,Western,Pablo Diaz,Chilean
76,Planetarium: A Visual Tour of Our Solar System,03/01/2022,25,4.5,63.24,Time Travel,Liu Wei,Chinese
83,Space Oddities: Bizarre Phenomena in the Cosmos,04/06/2021,20,4.5,29.29,Crime,Jing Li,Chinese
86,Cultural Heritage: Ancient Traditions,15/12/2008,30,4.5,106.96,Classic,Jingwen Xie,Chinese
94,Passing Down Traditions: Generational Wisdom,25/03/2006,40,4.5,85.6,Children's,Vladimir Kuznetsov,Russian
99,Ancient Rites and Ceremonies: Respecting the Past,15/10/2004,25,4.5,110.24,Crime,Katerina Dimitrova,Bulgarian
102,Legacy of Rituals: A World of Celebrations,30/07/2007,30,4.5,40.56,Classic,Mikhail Ivanov,Russian
106,The Philosophy of Existence,15/04/1998,30,4.5,56.61,Spirituality,Andris Bērziņš,Latvian
114,The Philosophy of Wisdom,30/10/1997,40,4.5,15.24,Time Travel,Pēteris Auziņš,Latvian
119,The Works of Aristotle,15/01/1992,25,4.5,17.03,Art,Sophie Lefebvre,French
122,The Philosophy of Science,30/07/1997,30,4.5,50.41,Self-Help,Thomas Fischer,German
128,Political Ideologies: A Comparative Study,20/11/2022,35,4.5,65.12,Urban Fantasy,Chinwe Okoro,Nigerian
135,Leadership in a Changing World,03/05/2022,30,4.5,43.73,Paranormal,Isaac Wanjohi,Kenyan
141,The Politics of Identity,10/03/2022,25,4.5,95.51,Superhero,Habiba Diallo,Malian
141,The Politics of Identity,10/03/2022,25,4.5,95.51,Superhero,Sophie Anderson,Australian
144,Social Movements and Change,05/02/2019,40,4.5,56.58,Science Fiction Romance,Oliver Turner,Tongan
154,Suspicion and Shadows,20/02/2010,40,4.5,64.26,Music,Jacob Robinson,Kiribati
169,Sunset Serenade,29/04/2016,40,4.5,106.6,Children's,Johan Mikkelsen,Danish
184,Conspiracy Theories,29/08/2021,40,4.5,113.71,Adventure,Carmen Fernandez,Paraguay
192,Quick and Easy Weeknight Dinners,03/09/2021,75,4.5,10.7,Politics,Miguel Fernandez,Guyana
198,Homestyle Italian Cooking,12/02/2020,45,4.5,76.88,Humor,Rafael Gomez,Antigua and Barbuda
204,Vegan Delights: Plant-Powered Recipes,11/02/2022,50,4.5,60.11,Drama,Joaquin Mendez,Turks and Caicos Islands
208,Chinese Takeout at Home,05/04/2022,40,4.5,61.43,Humor,Alejandro Ortega,Sint Maarten
213,The Joy of Baking Bread,25/02/2022,45,4.5,79.08,Drama,Emma Ramirez,Falkland Islands
214,Exploring the Andes: A Hiker's Guide,10/08/2022,30,4.5,70.04,Young Adult,Felipe Torres,South Georgia and the South Sandwich Islands
222,Solo Traveler's Guide to Asia,25/01/2022,25,4.5,102.96,Time Travel,Camila Silva,Cayman Islands
227,Historical European Cities,09/02/2022,45,4.5,119.32,Urban Fantasy,Matthias Schmidt,German
229,The Serengeti Wildlife Expedition,28/04/2022,25,4.5,66.18,Horror,Carlos Garcia,Peru
232,The Enigmatic Mystery,05/01/2023,30,4.5,116.51,Time Travel,Sophie Anderson,Australian
238,The Art of Forgiveness,20/11/2022,40,4.5,57.41,Psychology,Lamine Diop,Senegalese
245,The Silent Scream,28/10/2022,25,4.5,73.15,Reference,Carmen Torres,Spanish
250,Ghosts of the Past,05/10/2022,40,4.5,103.82,Environment,Luisa Vargas,Suriname
254,Reflections of Hope,08/09/2022,40,4.5,8.3,Humor,Alejandro Ortega,Sint Maarten
263,Silent Echoes,28/10/2022,30,4.5,61.03,Health,Sophie Lefebvre,French
269,The Whispering Pines,25/02/2023,45,4.5,30.8,Environment,Ville Jokinen,Finnish
272,The Hidden Treasures,20/09/2022,25,4.5,64.05,Humor,Chen Wei,Chinese
277,Echoes of the Heart,10/09/2022,40,4.5,20.8,Science,Chidinma Eze,Nigerian
285,Machines of Magic,05/01/2023,45,4.5,82.72,Young Adult,Javier Martinez,Costa Rica
290,Cogwheels and Corsets,08/11/2022,40,4.5,66.91,Urban Fantasy,Andres Gomez,Cuba
297,Steampunk Sorcery,22/11/2022,35,4.5,82.89,Comics,Jing Li,Chinese
304,The Clockwork Chronicles,25/08/2022,25,4.5,111.29,Spirituality,Matthias Müller,German
310,Beyond the Finish Line,30/01/2023,30,4.5,64.39,Cooking,Lamine Diop,Senegalese
313,The Soccer Star,25/01/2023,55,4.5,105.98,Classic,Jacob Robinson,Kiribati
323,Hockey Heroes,18/02/2023,30,4.5,94.98,Manga,Isabella Lopez,Argentinian
326,Powerlifting Prodigies,30/01/2023,45,4.5,68.81,Young Adult,Rafael Gomez,Antigua and Barbuda
333,Gymnastics Greatness,05/01/2023,30,4.5,86.97,Poetry,Andres Gomez,Cuba
340,Financial Freedom,10/03/2023,50,4.5,31.37,Urban Fantasy,Emily Johnson,British
346,The MBA Mindset,28/03/2023,50,4.5,104.22,Technology,Antonio Suarez,Saint Lucia
346,The MBA Mindset,28/03/2023,50,4.5,104.22,Technology,Pedro Silva,Venezuela
352,Sales Success,08/03/2023,50,4.5,26.45,Horror,Vladimir Kuznetsov,Russian
358,Business Planning,25/02/2023,50,4.5,26.1,Technology,Ana Silva,Portuguese
364,The MBA Handbook,10/02/2023,50,4.5,91.21,Historical Fiction,Lucia Diaz,Uruguay
370,Sales and Marketing Mastery,15/02/2023,50,4.5,66.4,Science Fiction Fantasy,Lorena Duarte,Grenada
376,Start-up Revolution,22/03/2023,50,4.5,77.13,Superhero,Olivia Gomez,Anguilla
382,Strategic Supply Chain Management,05/02/2023,50,4.5,104.68,Mystery,Ismail Al-Mansoori,Emirati
388,Business Growth Strategies for the 21st Century,12/02/2023,50,4.5,8.53,Science Fiction Romance,Sofia Soto,Aruba
502,The Adventure of Mr. Teddy Bear,01/06/2023,80,4.5,118.46,Drama,Inese Sīmane,Latvian
2,Secrets of the Enchanted Forest,20/05/2022,39,2.8,81.09,Fantasy,Maria García,Spanish
4,Journey to the Cosmic Frontier,25/06/2022,57,4.4,44.41,Romance,Elena Kalashnikov,Russian
5,The Quest for Eternal Wisdom,12/02/2022,18,4.3,29.89,Thriller,Lucas Müller,German
7,Infinite Realms of Imagination,18/08/2022,5,5,104.11,Drama,Ahmed Ali,Egyptian
9,The Island of Forgotten Dreams,22/07/2022,45,4.2,21.87,Biography,Amit Patel,Indian
10,Voyage to the End of the Universe,01/11/2022,30,4.8,8.1,Historical Fiction,Marta López,Mexican
11,Chronicles of the Galactic Heroes,14/09/2022,14,4.4,45.33,Crime,Andrea Bianchi,Italian
14,Mysteries of the Quantum Realm,12/07/2022,25,4.2,116.33,Cooking,Rafael Santos,Brazilian
16,The Enchanted Kingdom,05/01/2023,20,4.3,37.38,Children's,Johanna Svensson,Swedish
20,Chronicles of the Hidden Scrolls,25/05/2023,45,4.2,98.43,Humor,Anna Nowak,Polish
21,Epic Adventures of the Brave Knight,30/06/2023,25,4.4,51.84,Religion,Emily Johnson,British
22,Mysteries of the Forest Elves,05/07/2023,50,4.8,47.04,Philosophy,Ricardo Fernandez,Spanish
23,Journey to the Magic Kingdom,10/08/2023,30,4.1,93.16,Art,Yuki Nakamura,Japanese
25,Quest for the Crystal Chalice,20/10/2023,35,4.2,112.98,Psychology,Matthias Schmidt,German
28,The Lost Artifact of Time,05/01/2024,25,4.3,38.74,Health,Léa Dupuis,French
30,Tales of the Enchanted Forest,15/03/2024,20,4.4,51.4,Education,Carlos López,Mexican
32,Tales of Icelandic Legends,15/11/2022,29,4.4,105.57,Environment,Mette Nielsen,Danish
34,Legends of the Northern Lights,25/09/2022,35,4.3,10.35,Comics,Andres Martinez,Mexican
36,Fjords and Fairytales,05/07/2022,30,4.2,16.08,Graphic Novel,Sara Andersson,Swedish
37,The Northern Enchantment,10/06/2022,15,4.8,67.95,Reference,Ville Jokinen,Finnish
37,The Northern Enchantment,10/06/2022,15,4.8,67.95,Reference,Juan Rodriguez,Mexican
38,Tales of the Sami Reindeer Herders,15/05/2022,25,4.4,74.35,Spirituality,Kostas Papadopoulos,Greek
40,Legends of the Baltic Sea,25/03/2022,30,4.1,118.97,Urban Fantasy,Jakub Nowak,Polish
44,The Mystical Lapland,10/11/2021,20,4.3,89.93,Erotica,Elena Petrov,Russian
45,Journey to the Sami Lands,15/10/2021,15,4.8,112.93,Paranormal,Franz Müller,German
47,Healthy Habits for a Better You,20/10/2022,30,4.3,35.89,Superhero,Amina Ali,Egyptian
49,Finding Balance: Work and Life,30/08/2022,40,4.4,107.44,Historical Fiction,Vikram Kapoor,Indian
50,The Joy of Minimalism,05/07/2022,35,4.8,51.95,Crime,Miguel Rodríguez,Mexican
52,Mindful Parenting: Raising Happy Kids,15/05/2022,25,4.2,55.63,Romance,Lise Andersen,Danish
54,The Power of Positivity,25/03/2022,30,4.4,85.57,Adventure,Lucas Santos,Brazilian
57,The Well-Being Revolution,05/12/2021,25,4.8,119.29,Children's,Raul Martinez,Mexican
